Frame,Label
/content/youtube_videos_frames/video_1/frame_0000.jpg,none
/content/youtube_videos_frames/video_1/frame_0030.jpg,none
/content/youtube_videos_frames/video_1/frame_0060.jpg,none
/content/youtube_videos_frames/video_1/frame_0120.jpg,none
/content/youtube_videos_frames/video_1/frame_0150.jpg,none
/content/youtube_videos_frames/video_1/frame_0180.jpg,none
/content/youtube_videos_frames/video_1/frame_0210.jpg,none
/content/youtube_videos_frames/video_1/frame_0240.jpg,none
/content/youtube_videos_frames/video_1/frame_0270.jpg,none
/content/youtube_videos_frames/video_1/frame_0300.jpg,none
/content/youtube_videos_frames/video_1/frame_0330.jpg,none
/content/youtube_videos_frames/video_1/frame_0360.jpg,none
/content/youtube_videos_frames/video_1/frame_0390.jpg,none
/content/youtube_videos_frames/video_1/frame_0420.jpg,none
/content/youtube_videos_frames/video_1/frame_0450.jpg,none
/content/youtube_videos_frames/video_1/frame_0480.jpg,none
/content/youtube_videos_frames/video_1/frame_0510.jpg,none
/content/youtube_videos_frames/video_1/frame_0540.jpg,none
/content/youtube_videos_frames/video_1/frame_0570.jpg,standing
/content/youtube_videos_frames/video_1/frame_0600.jpg,standing
/content/youtube_videos_frames/video_1/frame_0630.jpg,standing
/content/youtube_videos_frames/video_1/frame_0660.jpg,standing
/content/youtube_videos_frames/video_1/frame_0690.jpg,standing
/content/youtube_videos_frames/video_1/frame_0720.jpg,standing
/content/youtube_videos_frames/video_1/frame_0750.jpg,standing
/content/youtube_videos_frames/video_1/frame_0780.jpg,standing
/content/youtube_videos_frames/video_1/frame_0810.jpg,standing
/content/youtube_videos_frames/video_1/frame_0840.jpg,standing
/content/youtube_videos_frames/video_1/frame_0870.jpg,standing
/content/youtube_videos_frames/video_1/frame_0900.jpg,standing
/content/youtube_videos_frames/video_1/frame_0930.jpg,standing
/content/youtube_videos_frames/video_1/frame_0960.jpg,standing
/content/youtube_videos_frames/video_1/frame_0990.jpg,standing
/content/youtube_videos_frames/video_1/frame_1020.jpg,standing
/content/youtube_videos_frames/video_1/frame_1050.jpg,standing
/content/youtube_videos_frames/video_1/frame_1080.jpg,standing
/content/youtube_videos_frames/video_1/frame_1110.jpg,standing
